1,85407863,120505532
1,149815536,249179856
4,181832,8728783
4,9404812,19740879
5,81437,5123214
6,9776194,58752089
6,61970201,150931131
7,60392,24921240
7,123864185,159119220
8,3803623,7007415
8,12568161,42858299
8,47173274,100825521
9,4844704,38772575
9,71033538,141018423
10,135708,39058671
10,49435925,135434303
11,205198,37119712
12,197841,34810203
12,37961768,105121680
13,19280540,66214302
14,20416499,106020366
15,58183524,82580736
15,83342772,102398631
16,107275,16290495
16,18839362,32137965
16,46644903,90141355
18,159382,15102421
18,18681293,77938901
21,14824503,46485239
