1,21723308,50937848
1,51470242,102080843
1,203334320,239249308
2,42098236,87108211
2,96784934,113498566
2,158991525,217730567
3,9187812,46352355
4,9404812,49062892
4,52787972,105142122
4,140693868,185776616
5,14093389,45996902
5,49852455,68820348
5,124376698,149575702
6,37759821,58752089
6,61970201,137951850
7,25382023,50361683
7,126681865,150084460
8,196884,7007415
8,12568161,42858299
8,47173274,146275966
9,13503997,38772575
9,71033538,131982125
10,115330721,135434303
11,8320592,42429389
11,72007984,134934063
12,197841,12249224
12,118005883,133777645
13,19280540,71680869
15,32939946,82580736
15,83342772,93659701
16,51440678,90141355
17,53011,22003116
17,25417643,44249199
17,44871987,81006629
18,45016812,77938901
19,292082,24373083
19,27919724,34358606
20,96931,26225145
20,29976949,62852398
21,19555248,42110235
22,31346752,51162059
